,user,train_samples,EER
0,175374,5,0.016528925619834656
1,175375,5,0.0022038567493113392
2,175380,5,0.0049586776859503745
3,175381,5,0.000550964187327807
4,175384,5,0.1
5,175386,5,0.05179063360881542
6,175387,5,0.0027548209366391463
7,175390,5,0.006611570247933907
8,175395,5,0.03195592286501381
9,175400,5,0.00991735537190086
10,175401,5,0.011570247933884281
11,175404,5,0.02975206611570247
12,175407,5,0.001101928374655614
13,175409,5,0.0055096418732781816
14,175410,5,0.0022038567493113392
15,175412,5,0.0
16,175416,5,0.023140495867768562
17,175418,5,0.0
18,175419,5,0.04077134986225894
19,175420,5,0.014876033057851235
20,175421,5,0.01983471074380161
21,175423,5,0.0033057851239669533
22,175424,5,0.1111111111111111
23,175427,5,0.030303030303030276
24,175435,5,0.008815426997245135
25,175436,5,0.08760330578512399
26,175439,5,0.011019283746556474
27,175442,5,0.0055096418732781816
28,175443,5,0.032506887052341615
29,175450,5,0.011019283746556474
30,175452,5,0.07493112947658398
31,175456,5,0.014325068870523427
32,175457,5,0.07658402203856751
33,175467,5,0.0027548209366391463
34,175469,5,0.0044077134986225674
35,175470,5,0.0440771349862259
36,175476,5,0.10303030303030303
37,175480,5,0.008264462809917328
38,175481,5,0.000550964187327807
39,175482,5,0.09972451790633607
40,175484,5,0.04903581267217627
41,175493,5,0.05179063360881542
42,175494,5,0.008264462809917328
43,175498,5,0.03691460055096418
44,175503,5,0.02203856749311295
45,175504,5,0.013223140495867813
46,175505,5,0.001101928374655614
47,175507,5,0.0016528925619834212
48,175509,5,0.015426997245179042
49,175516,5,0.02369146005509637
50,175517,5,0.012672176308539895
51,175518,5,0.05564738292011018
52,175519,5,0.008815426997245135
53,175527,5,0.007713498622589521
54,175531,5,0.04573002754820932
55,175538,5,0.000550964187327807
56,175544,5,0.05179063360881542
57,175548,5,0.001101928374655614
58,175550,5,0.1
59,175551,5,0.04903581267217627
60,175552,5,0.030853994490358083
61,175555,5,0.1
62,175556,5,0.1
63,175557,5,0.008264462809917328
64,175559,5,0.011019283746556474
65,175560,5,0.009366391184573053
66,175564,5,0.026446280991735516
67,175566,5,0.1
68,175567,5,0.08595041322314045
69,175579,5,0.007162534435261714
70,175583,5,0.07327823691460056
71,175584,5,0.007713498622589521
72,175586,5,0.07272727272727275
