,user,train_samples,EER
0,175374,5,0.013157894736842146
1,175375,5,0.00164473684210531
2,175380,5,0.009868421052631526
3,175381,5,0.007127192982456121
4,175384,5,0.07291666666666663
5,175386,5,0.018640350877192957
6,175387,5,0.004385964912280715
7,175390,5,0.0049342105263158196
8,175395,5,0.02412280701754388
9,175400,5,0.011513157894736836
10,175401,5,0.013706140350877138
11,175404,5,0.023026315789473673
12,175407,5,0.0010964912280702066
13,175409,5,0.0027412280701754055
14,175410,5,0.009320175438596534
15,175412,5,0.0005482456140351033
16,175416,5,0.018092105263157854
17,175418,5,0.0
18,175419,5,0.04385964912280704
19,175420,5,0.02631578947368418
20,175421,5,0.007127192982456121
21,175423,5,0.002192982456140302
22,175424,5,0.1111111111111111
23,175427,5,0.030701754385964897
24,175435,5,0.009320175438596534
25,175436,5,0.06688596491228072
26,175439,5,0.010964912280701733
27,175442,5,0.021929824561403466
28,175443,5,0.018092105263157854
29,175450,5,0.019736842105263164
30,175452,5,0.07291666666666663
31,175456,5,0.016995614035087758
32,175457,5,0.05372807017543857
33,175467,5,0.0027412280701754055
34,175469,5,0.002192982456140302
35,175470,5,0.041118421052631526
36,175476,5,0.10800438596491224
37,175480,5,0.013157894736842146
38,175481,5,0.0005482456140351033
39,175482,5,0.1
40,175484,5,0.037280701754385914
41,175493,5,0.06907894736842102
42,175494,5,0.007675438596491224
43,175498,5,0.01918859649122806
44,175503,5,0.021929824561403466
45,175504,5,0.012609649122807043
46,175505,5,0.00164473684210531
47,175507,5,0.0010964912280702066
48,175509,5,0.02960526315789469
49,175516,5,0.018092105263157854
50,175517,5,0.020285087719298267
51,175518,5,0.08114035087719296
52,175519,5,0.024671052631578982
53,175527,5,0.006030701754385914
54,175531,5,0.06578947368421051
55,175538,5,0.0005482456140351033
56,175544,5,0.059758771929824595
57,175548,5,0.007127192982456121
58,175550,5,0.0932017543859649
59,175551,5,0.03837719298245612
60,175552,5,0.035635964912280715
61,175555,5,0.1
62,175556,5,0.052631578947368474
63,175557,5,0.01041666666666663
64,175559,5,0.011513157894736836
65,175560,5,0.01206140350877194
66,175564,5,0.021381578947368474
67,175566,5,0.07785087719298245
68,175567,5,0.03673245614035092
69,175579,5,0.004385964912280715
